,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
152,Sao Tome and Principe,2020-08-11 06:35:16,0.18636,6.613081,878.0,15.0,800.0,63.0,400.6187232217411,,,1.7084282460136675,678,STP
153,Saudi Arabia,2020-08-11 06:35:16,23.885942,45.079162,289947.0,3199.0,253478.0,33270.0,832.8491632371664,,,1.103305086791724,682,SAU
154,Senegal,2020-08-11 06:35:16,14.4974,-14.4524,11312.0,236.0,7390.0,3686.0,67.55881086459391,,,2.0862800565770865,686,SEN
155,Serbia,2020-08-11 06:35:16,44.0165,21.0059,28262.0,646.0,,27616.0,323.4611788215447,,,2.285754723657208,688,SRB
156,Seychelles,2020-08-11 06:35:16,-4.6796,55.492,126.0,0.0,125.0,1.0,128.1269066503966,,,0.0,690,SYC
157,Sierra Leone,2020-08-11 06:35:16,8.460555000000001,-11.779889,1917.0,69.0,1447.0,401.0,24.03163601285448,,,3.5993740219092327,694,SLE
158,Singapore,2020-08-11 06:35:16,1.2833,103.8333,55292.0,27.0,49609.0,5656.0,945.10697919763,,,0.04883165738262316,702,SGP
159,Slovakia,2020-08-11 06:35:16,48.669,19.699,2599.0,31.0,1866.0,702.0,47.6038451598392,,,1.19276644863409,703,SVK
160,Slovenia,2020-08-11 06:35:16,46.1512,14.9955,2255.0,128.0,1960.0,167.0,108.46915627831983,,,5.676274944567628,705,SVN
161,Somalia,2020-08-11 06:35:16,5.152149,46.199616,3227.0,93.0,1728.0,1406.0,20.304256802854102,,,2.8819336845367216,706,SOM
162,South Africa,2020-08-11 06:35:16,-30.5595,22.9375,563598.0,10621.0,417200.0,135777.0,950.278955748306,,,1.8844992352705296,710,ZAF
163,South Sudan,2020-08-11 06:35:16,6.8770000000000024,31.307,2470.0,47.0,1175.0,1248.0,22.065926377170648,,,1.9028340080971662,728,SSD
164,Sri Lanka,2020-08-11 06:35:16,7.873054,80.77179699999998,2871.0,11.0,2593.0,267.0,13.40758642429337,,,0.3831417624521073,144,LKA
165,Sudan,2020-08-11 06:35:16,12.8628,30.2176,11956.0,781.0,6266.0,4909.0,27.26613298844275,,,6.532285045165608,729,SDN
